,PORT VALUE,50000,,,,,,,,,
,AMD,AMZN,F,GE,GM,GOOG,MCK,UNH,VZ,WMT,
,0.001985709,0.00182602,-0.000218784,-0.000530522,0.000281949,0.000816221,-6.75984E-05,0.001209812,5.90034E-05,0.000197305,
,,,,,,,,,,,
,AMD,AMZN,F,GE,GM,GOOG,MCK,UNH,VZ,WMT,
,0.00152347,0.000116482,0.000124127,9.20177E-05,0.000129018,7.68564E-05,5.42503E-05,8.72213E-05,5.42375E-05,3.68807E-05,
,0.000116482,0.000326038,6.91612E-05,4.99321E-05,6.1426E-05,0.000153095,5.58454E-05,6.64741E-05,3.50787E-05,3.3099E-05,
,0.000124127,6.91612E-05,0.000202785,8.15487E-05,0.000153937,6.52888E-05,6.7303E-05,6.4357E-05,5.18841E-05,3.91787E-05,
,9.20177E-05,4.99321E-05,8.15487E-05,0.000185142,7.96952E-05,5.71195E-05,5.29118E-05,5.39331E-05,4.94533E-05,3.30281E-05,
,0.000129018,6.1426E-05,0.000153937,7.96952E-05,0.00024726,6.78079E-05,6.20728E-05,6.31828E-05,4.118E-05,4.40696E-05,
,7.68564E-05,0.000153095,6.52888E-05,5.71195E-05,6.78079E-05,0.000201605,6.13107E-05,6.50116E-05,3.82687E-05,3.69637E-05,
,5.42503E-05,5.58454E-05,6.7303E-05,5.29118E-05,6.20728E-05,6.13107E-05,0.000284534,7.76084E-05,3.87254E-05,4.69979E-05,
,8.72213E-05,6.64741E-05,6.4357E-05,5.39331E-05,6.31828E-05,6.50116E-05,7.76084E-05,0.000162195,3.86439E-05,4.55423E-05,
,5.42375E-05,3.50787E-05,5.18841E-05,4.94533E-05,4.118E-05,3.82687E-05,3.87254E-05,3.86439E-05,0.000111787,4.19659E-05,
,3.68807E-05,3.3099E-05,3.91787E-05,3.30281E-05,4.40696E-05,3.69637E-05,4.69979E-05,4.55423E-05,4.19659E-05,0.000150907,
,,,,,,,,,,,
,AMD,AMZN,F,GE,GM,GOOG,MCK,UNH,VZ,WMT,
Weights,0.099416554,0.099408589,0.099306548,0.099290993,0.099331536,0.099358197,0.099314094,0.09937784,0.099320412,0.099327312,0.993452074
Value,4970.827689,4970.429427,4965.327416,4964.54963,4966.576782,4967.909875,4965.704709,4968.891997,4966.020583,4966.365605,
Price,14.97000027,1660.51001,11.42000008,13.96000004,40.36999893,1103.97998,144.6600037,248.1699982,49.31000137,86.88999939,
ADJ SHARES,332,3,435,356,123,4,34,20,101,57,
ADJ VALUE,4970.040089,4981.530029,4967.700033,4969.760014,4965.509869,4415.919922,4918.440125,4963.399963,4980.310139,4952.729965,49085.34015
,,,,,,,,,,,
return,0.000552609,,,,,,,,,,
variance,9.10618E-05,,,,,,,,,,
stdev,0.009542629,,,,,,,,,,
